company_name,job_name,domain,first_appeared,last_appeared,job_link,RMSW
adcash,devops intern,devops-sre,3/26/2024,3/26/2024,https://careers.adcash.com/jobs/3590778-devops-intern,
adcash,devops intern,devops-sre,4/2/2024,4/3/2024,https://careers.adcash.com/jobs/3590778-devops-intern,
adcash,devops intern,devops-sre,6/4/2024,6/19/2024,https://careers.adcash.com/jobs/4561598-devops-intern,
adcash,digital marketing specialist,marketing,7/4/2024,8/18/2024,https://careers.adcash.com/jobs/4695248-digital-marketing-specialist,
adcash,documentation specialist,other,4/16/2024,5/19/2024,https://careers.adcash.com/jobs/3877122-documentation-specialist,
adcash,influencer marketing manager,marketing,5/17/2024,7/14/2024,https://careers.adcash.com/jobs/4475596-influencer-marketing-manager,
adcash,legal advisor,other,10/24/2024,11/10/2024,https://careers.adcash.com/jobs/5038868-legal-advisor,
adcash,marketing communications specialist,marketing,7/18/2024,8/7/2024,https://careers.adcash.com/jobs/4747394-marketing-communications-specialist,
adcash,people operations intern,hr,3/26/2024,3/26/2024,https://careers.adcash.com/jobs/3638229-people-operations-intern,
adcash,performance advertising specialist,other,4/11/2024,8/6/2024,https://careers.adcash.com/jobs/3792018-performance-advertising-specialist,
adcash,publisher sales manager,sales,3/26/2024,3/26/2024,https://careers.adcash.com/jobs/3424200-publisher-sales-manager,
adcash,publisher sales manager,sales,4/2/2024,7/17/2024,https://careers.adcash.com/jobs/3424200-publisher-sales-manager,
adcash,sales associate intern,sales,3/26/2024,3/26/2024,https://careers.adcash.com/jobs/3594133-sales-associate-intern,
adcash,sales associate intern,sales,4/2/2024,4/8/2024,https://careers.adcash.com/jobs/3594133-sales-associate-intern,
artec design,facebook,other,3/26/2024,3/26/2024,https://www.facebook.com/artecdesign.ee/,
artec design,facebook,other,4/2/2024,8/12/2024,https://www.facebook.com/artecdesign.ee/,
artec design,firmware engineering intern,software-development,9/7/2024,11/10/2024,https://artecdesign.ee/careers/firmware-engineering-intern,
